"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"77","Johor","All","property","theft_vehicle_lorry","2020-01-01",141,4009.7,256064.203,1.98048406862745,103.220223147059
"78","Johor","All","property","theft_vehicle_lorry","2021-01-01",71,4020,262463.625,1.98048406862745,103.220223147059
"79","Johor","All","property","theft_vehicle_lorry","2022-01-01",73,4028.3,284814.632,1.98048406862745,103.220223147059
"80","Johor","All","property","theft_vehicle_lorry","2023-01-01",69,4107.2,296451.224,1.98048406862745,103.220223147059
"81","Johor","All","property","theft_vehicle_motorcar","2016-01-01",1443,3651.8,233461.09,1.98048406862745,103.220223147059
"82","Johor","All","property","theft_vehicle_motorcar","2017-01-01",1097,3697,247167.002,1.98048406862745,103.220223147059
"83","Johor","All","property","theft_vehicle_motorcar","2018-01-01",1035,3749.4,261198.304,1.98048406862745,103.220223147059
"84","Johor","All","property","theft_vehicle_motorcar","2019-01-01",981,3761.2,268449.969,1.98048406862745,103.220223147059
"85","Johor","All","property","theft_vehicle_motorcar","2020-01-01",802,4009.7,256064.203,1.98048406862745,103.220223147059
"86","Johor","All","property","theft_vehicle_motorcar","2021-01-01",400,4020,262463.625,1.98048406862745,103.220223147059
"87","Johor","All","property","theft_vehicle_motorcar","2022-01-01",429,4028.3,284814.632,1.98048406862745,103.220223147059
"88","Johor","All","property","theft_vehicle_motorcar","2023-01-01",415,4107.2,296451.224,1.98048406862745,103.220223147059
"89","Johor","All","property","theft_vehicle_motorcycle","2016-01-01",4686,3651.8,233461.09,1.98048406862745,103.220223147059
"90","Johor","All","property","theft_vehicle_motorcycle","2017-01-01",4104,3697,247167.002,1.98048406862745,103.220223147059
"91","Johor","All","property","theft_vehicle_motorcycle","2018-01-01",3881,3749.4,261198.304,1.98048406862745,103.220223147059
"92","Johor","All","property","theft_vehicle_motorcycle","2019-01-01",3471,3761.2,268449.969,1.98048406862745,103.220223147059
"93","Johor","All","property","theft_vehicle_motorcycle","2020-01-01",2347,4009.7,256064.203,1.98048406862745,103.220223147059
"94","Johor","All","property","theft_vehicle_motorcycle","2021-01-01",1144,4020,262463.625,1.98048406862745,103.220223147059
"95","Johor","All","property","theft_vehicle_motorcycle","2022-01-01",1179,4028.3,284814.632,1.98048406862745,103.220223147059
"96","Johor","All","property","theft_vehicle_motorcycle","2023-01-01",1290,4107.2,296451.224,1.98048406862745,103.220223147059
"97","Kedah","All","assault","causing_injury","2016-01-01",398,2119.7,82363.669,6.00356353445946,100.495333581081
"98","Kedah","All","assault","causing_injury","2017-01-01",364,2143.9,86155.209,6.00356353445946,100.495333581081
"99","Kedah","All","assault","causing_injury","2018-01-01",337,2163,89625.43,6.00356353445946,100.495333581081
"100","Kedah","All","assault","causing_injury","2019-01-01",328,2173.7,93696.564,6.00356353445946,100.495333581081
"101","Kedah","All","assault","causing_injury","2020-01-01",272,2131.4,92080.99,6.00356353445946,100.495333581081
"102","Kedah","All","assault","causing_injury","2021-01-01",274,2151.7,95038.721,6.00356353445946,100.495333581081
"103","Kedah","All","assault","causing_injury","2022-01-01",302,2163.1,102024.695,6.00356353445946,100.495333581081
"104","Kedah","All","assault","causing_injury","2023-01-01",260,2189.3,103588.044,6.00356353445946,100.495333581081
"105","Kedah","All","assault","murder","2016-01-01",17,2119.7,82363.669,6.00356353445946,100.495333581081
"106","Kedah","All","assault","murder","2017-01-01",21,2143.9,86155.209,6.00356353445946,100.495333581081
"107","Kedah","All","assault","murder","2018-01-01",9,2163,89625.43,6.00356353445946,100.495333581081
"108","Kedah","All","assault","murder","2019-01-01",20,2173.7,93696.564,6.00356353445946,100.495333581081
"109","Kedah","All","assault","murder","2020-01-01",13,2131.4,92080.99,6.00356353445946,100.495333581081
"110","Kedah","All","assault","murder","2021-01-01",11,2151.7,95038.721,6.00356353445946,100.495333581081
